order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,55,1,357.94,357.94
2,1,19,5,389.66,1948.3
3,2,100,2,483.63,967.26
4,3,73,1,90.53,90.53
5,4,71,3,58.87,176.61
6,4,19,5,389.66,1948.3
7,4,17,5,325.06,1625.3
8,5,29,1,496.75,496.75
9,5,78,5,252.64,1263.2
10,5,57,2,127.61,255.22
11,6,2,5,274.25,1371.25
12,7,81,5,412.16,2060.8
13,7,23,1,285.15,285.15
14,7,1,4,452.28,1809.12
15,7,46,5,316.74,1583.7
16,7,38,5,127.93,639.65
17,8,69,4,369.96,1479.84
18,8,77,3,408.28,1224.84
19,9,40,2,144.93,289.86
20,9,52,5,39.56,197.8
21,9,24,2,321.84,643.68
22,10,70,5,157.29,786.45
23,10,92,3,110.31,330.93
24,11,23,1,285.15,285.15
25,12,33,4,114.95,459.8
26,13,97,5,191.58,957.9
27,14,86,1,335.75,335.75
28,15,17,4,325.06,1300.24
29,15,76,4,354.4,1417.6
30,15,45,3,232.61,697.83
31,15,100,3,483.63,1450.89
32,16,25,2,480.89,961.78
33,16,58,3,348.79,1046.37
34,16,73,2,90.53,181.06
35,16,19,1,389.66,389.66
36,17,56,4,275.57,1102.28
37,17,43,2,207.38,414.76
38,18,36,1,419.92,419.92
39,18,5,5,85.69,428.45
40,19,61,1,185.62,185.62
41,19,23,3,285.15,855.45
42,20,41,5,224.23,1121.15
43,20,75,1,462.56,462.56
44,21,87,3,494.48,1483.44
45,21,4,1,72.38,72.38
46,21,58,5,348.79,1743.95
47,22,57,2,127.61,255.22
48,22,10,3,105.58,316.74
49,22,75,2,462.56,925.12
50,23,99,4,97.9,391.6
51,23,99,4,97.9,391.6
52,24,57,1,127.61,127.61
53,24,3,1,472.52,472.52
54,25,34,3,407.66,1222.98
55,26,50,2,407.85,815.7
56,26,49,1,61.73,61.73
57,27,8,1,343.91,343.91
58,27,20,5,470.09,2350.45
59,27,47,3,136.25,408.75
60,27,27,5,467.13,2335.65
61,27,25,1,480.89,480.89
62,28,9,1,184.21,184.21
63,29,1,4,452.28,1809.12
64,29,3,5,472.52,2362.6
65,29,78,2,252.64,505.28
66,29,67,4,197.88,791.52
67,29,4,1,72.38,72.38
68,30,69,4,369.96,1479.84
69,30,35,1,136.3,136.3
70,30,45,4,232.61,930.44
71,30,48,2,66.85,133.7
72,31,97,3,191.58,574.74
73,31,77,1,408.28,408.28
74,31,7,5,46.82,234.1
75,31,61,1,185.62,185.62
76,32,86,1,335.75,335.75
77,32,99,4,97.9,391.6
78,33,32,5,323.42,1617.1
79,33,13,5,426.01,2130.05
80,33,47,1,136.25,136.25
81,33,22,2,348.19,696.38
82,34,57,5,127.61,638.05
83,34,78,1,252.64,252.64
84,34,49,2,61.73,123.46
85,34,39,5,467.73,2338.65
86,34,60,4,385.71,1542.84
87,35,78,4,252.64,1010.56
88,36,35,2,136.3,272.6
89,37,89,3,128.53,385.59
90,37,95,1,234.86,234.86
91,37,47,5,136.25,681.25
