order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20240731-00001,165,2024-07-31,processing,2306.24,10,140,484.31,2699.93,paypal,same_day,,
2,ORD-20240126-00002,259,2024-01-26,processing,967.26,17,30,203.12,1035.95,debit_card,same_day,,
3,ORD-20230916-00003,86,2023-09-16,pending,90.53,19,210,19.01,302.34,bank_transfer,express,,
4,ORD-20230314-00004,85,2023-03-14,shipped,3750.21,1,330,787.54,4830.25,debit_card,standard,,
5,ORD-20230210-00005,88,2023-02-10,cancelled,2015.17,9,150,423.19,2406.99,credit_card,standard,,
6,ORD-20240914-00006,313,2024-09-14,processing,1371.25,5,120,287.96,1710.65,paypal,standard,,
7,ORD-20240113-00007,215,2024-01-13,pending,6378.42,5,490,1339.47,7888.97,debit_card,pickup,8,
8,ORD-20250810-00008,183,2025-08-10,cancelled,2704.68,12,40,567.98,2988.1,credit_card,pickup,,
9,ORD-20240112-00009,53,2024-01-12,shipped,1131.34,17,200,237.58,1376.59,bank_transfer,same_day,,
10,ORD-20231107-00010,48,2023-11-07,delivered,1117.38,6,50,234.65,1334.99,credit_card,express,,
11,ORD-20230505-00011,1,2023-05-05,cancelled,285.15,3,400,59.88,736.48,paypal,express,,
12,ORD-20230301-00012,23,2023-03-01,processing,459.8,15,160,96.56,647.39,credit_card,same_day,,
13,ORD-20240509-00013,255,2024-05-09,shipped,957.9,6,100,201.16,1201.59,cash_on_delivery,same_day,,
14,ORD-20230404-00014,240,2023-04-04,delivered,335.75,14,120,70.51,479.26,paypal,standard,10,
15,ORD-20230111-00015,317,2023-01-11,cancelled,4866.56,11,500,1021.98,5853.22,paypal,pickup,,Nota del cliente: Dejar en portería
16,ORD-20230428-00016,312,2023-04-28,pending,2578.87,5,160,541.56,3151.49,paypal,same_day,,
17,ORD-20250705-00017,241,2025-07-05,delivered,1517.04,6,440,318.58,2184.6,paypal,standard,,
18,ORD-20240216-00018,60,2024-02-16,processing,848.37,17,270,178.16,1152.31,bank_transfer,standard,,Nota del cliente: Envolver para regalo
19,ORD-20250801-00019,90,2025-08-01,cancelled,1041.07,0,190,218.62,1449.69,paypal,express,,
20,ORD-20250816-00020,275,2025-08-16,processing,1583.71,15,60,332.58,1738.73,credit_card,standard,,
21,ORD-20251119-00021,294,2025-11-19,delivered,3299.77,13,320,692.95,3883.75,credit_card,pickup,2,
22,ORD-20250605-00022,226,2025-06-05,delivered,1497.08,18,180,314.39,1722,paypal,standard,6,
23,ORD-20250225-00023,81,2025-02-25,cancelled,783.2,19,500,164.47,1298.86,credit_card,same_day,,
24,ORD-20240318-00024,272,2024-03-18,pending,600.13,8,320,126.03,998.15,credit_card,express,,
25,ORD-20230805-00025,119,2023-08-05,cancelled,1222.98,17,180,256.83,1451.9,debit_card,same_day,,
26,ORD-20250225-00026,289,2025-02-25,processing,877.43,15,70,184.26,1000.08,cash_on_delivery,pickup,,Nota del cliente: Dejar en portería
27,ORD-20240116-00027,187,2024-01-16,processing,5919.65,2,50,1243.13,7094.39,paypal,standard,,
28,ORD-20240312-00028,128,2024-03-12,pending,184.21,6,190,38.68,401.84,cash_on_delivery,standard,,
29,ORD-20251010-00029,220,2025-10-10,shipped,5540.9,18,30,1163.59,5737.13,credit_card,express,,
30,ORD-20251206-00030,110,2025-12-06,cancelled,2680.28,14,370,562.86,3237.9,bank_transfer,same_day,,Nota del cliente: Entregar por la tarde
31,ORD-20230716-00031,274,2023-07-16,cancelled,1402.74,2,120,294.58,1789.27,cash_on_delivery,standard,3,Nota del cliente: Llamar antes
32,ORD-20250424-00032,211,2025-04-24,cancelled,727.35,17,200,152.74,956.44,bank_transfer,standard,,Nota del cliente: Entregar por la tarde
33,ORD-20240424-00033,2,2024-04-24,delivered,4579.78,20,180,961.75,4805.57,paypal,standard,,
34,ORD-20250915-00034,263,2025-09-15,shipped,4895.64,12,60,1028.08,5396.24,debit_card,pickup,,
35,ORD-20230823-00035,278,2023-08-23,pending,1010.56,8,270,212.22,1411.94,cash_on_delivery,express,,
36,ORD-20241101-00036,49,2024-11-01,delivered,272.6,4,440,57.25,758.95,credit_card,express,,
37,ORD-20250713-00037,304,2025-07-13,delivered,3572.01,5,250,750.12,4393.53,debit_card,express,,
38,ORD-20250710-00038,17,2025-07-10,shipped,3553.45,3,80,746.22,4273.07,paypal,express,,
39,ORD-20250918-00039,233,2025-09-18,processing,3773.01,15,310,792.33,4309.39,paypal,pickup,,
40,ORD-20240614-00040,221,2024-06-14,cancelled,2689.5,2,30,564.8,3230.51,debit_card,pickup,,Nota del cliente: Dejar en portería
41,ORD-20250219-00041,100,2025-02-19,shipped,187.48,12,470,39.37,674.35,paypal,same_day,,
42,ORD-20230205-00042,296,2023-02-05,shipped,4063.69,6,100,853.37,4773.24,cash_on_delivery,express,,
43,ORD-20250718-00043,318,2025-07-18,delivered,770.54,20,290,161.81,1068.24,debit_card,standard,,
44,ORD-20240201-00044,69,2024-02-01,pending,790.98,12,50,166.11,912.17,paypal,same_day,,
45,ORD-20240624-00045,169,2024-06-24,delivered,3623.04,11,480,760.84,4465.35,debit_card,pickup,,
46,ORD-20240416-00046,105,2024-04-16,shipped,2983.67,3,240,626.57,3760.73,cash_on_delivery,standard,5,
47,ORD-20240317-00047,58,2024-03-17,shipped,1510.58,4,220,317.22,1987.38,cash_on_delivery,standard,9,Nota del cliente: Dejar en portería
48,ORD-20250528-00048,201,2025-05-28,pending,5452.17,17,40,1144.96,5710.26,cash_on_delivery,standard,,
49,ORD-20260211-00049,38,2026-02-11,processing,3047.98,14,80,640.08,3341.34,bank_transfer,standard,,
50,ORD-20231231-00050,243,2023-12-31,cancelled,5293.95,10,140,1111.73,6016.29,cash_on_delivery,same_day,,
51,ORD-20260106-00051,238,2026-01-06,shipped,1325.45,0,280,278.34,1883.79,paypal,express,,
52,ORD-20240410-00052,71,2024-04-10,pending,3449.56,2,110,724.41,4214.98,debit_card,pickup,,
53,ORD-20241213-00053,229,2024-12-13,cancelled,3789.43,2,130,795.78,4639.42,credit_card,same_day,,Nota del cliente: Llamar antes
54,ORD-20240101-00054,329,2024-01-01,processing,5653.57,5,220,1187.25,6778.14,paypal,express,2,
55,ORD-20230422-00055,211,2023-04-22,cancelled,3834.1,8,390,805.16,4722.53,debit_card,express,,
56,ORD-20230223-00056,216,2023-02-23,cancelled,779.32,16,340,163.66,1158.29,bank_transfer,standard,4,
57,ORD-20250721-00057,47,2025-07-21,processing,2992.43,3,0,628.41,3531.07,cash_on_delivery,express,,Nota del cliente: Llamar antes
58,ORD-20251114-00058,253,2025-11-14,processing,2486.2,18,350,522.1,2910.78,credit_card,pickup,,
59,ORD-20240323-00059,53,2024-03-23,pending,536.07,4,380,112.57,1007.2,paypal,standard,,
60,ORD-20250419-00060,310,2025-04-19,pending,4156.34,19,190,872.83,4429.47,cash_on_delivery,pickup,5,Nota del cliente: Envolver para regalo
61,ORD-20230731-00061,98,2023-07-31,delivered,2765.08,17,80,580.67,2955.69,credit_card,pickup,7,Nota del cliente: Envolver para regalo
62,ORD-20250508-00062,330,2025-05-08,shipped,2205.16,1,50,463.08,2696.19,debit_card,express,9,
63,ORD-20250817-00063,139,2025-08-17,processing,3170.44,3,310,665.79,4051.12,credit_card,pickup,5,
64,ORD-20250622-00064,150,2025-06-22,pending,1580.28,17,20,331.86,1663.49,cash_on_delivery,express,,
65,ORD-20230413-00065,8,2023-04-13,processing,768.32,11,380,161.35,1225.15,debit_card,same_day,,
66,ORD-20240106-00066,16,2024-01-06,cancelled,293.75,14,420,61.69,734.32,credit_card,pickup,,
67,ORD-20231012-00067,224,2023-10-12,cancelled,3472.26,0,310,729.17,4511.43,bank_transfer,express,4,
68,ORD-20231125-00068,217,2023-11-25,cancelled,1409.16,11,360,295.92,1910.07,bank_transfer,same_day,,
69,ORD-20240331-00069,42,2024-03-31,delivered,2122.97,11,260,445.82,2595.26,cash_on_delivery,pickup,,
70,ORD-20251026-00070,177,2025-10-26,pending,4264.66,12,340,895.58,4988.48,credit_card,express,,
71,ORD-20230610-00071,97,2023-06-10,shipped,3030.78,14,240,636.46,3482.93,paypal,same_day,,
72,ORD-20260108-00072,134,2026-01-08,cancelled,105.58,19,430,22.17,537.69,debit_card,pickup,7,Nota del cliente: Envolver para regalo
73,ORD-20260105-00073,108,2026-01-05,processing,7013.71,18,250,1472.88,7474.12,credit_card,pickup,9,Nota del cliente: Dejar en portería
74,ORD-20240902-00074,88,2024-09-02,cancelled,3321.93,1,280,697.61,4266.32,credit_card,same_day,,
75,ORD-20260214-00075,121,2026-02-14,cancelled,4000.19,1,20,840.04,4820.23,credit_card,pickup,,
76,ORD-20230810-00076,247,2023-08-10,delivered,1336.18,10,420,280.6,1903.16,credit_card,pickup,,
77,ORD-20230630-00077,146,2023-06-30,processing,3623.56,4,400,760.95,4639.57,paypal,same_day,,
78,ORD-20230921-00078,40,2023-09-21,pending,1977.92,10,260,415.36,2455.49,cash_on_delivery,pickup,,
79,ORD-20250608-00079,312,2025-06-08,pending,3169.72,16,460,665.64,3788.2,credit_card,standard,,
80,ORD-20260223-00080,228,2026-02-23,pending,110.31,8,470,23.17,594.66,debit_card,express,9,Nota del cliente: Llamar antes
81,ORD-20250522-00081,57,2025-05-22,shipped,3004.9,8,400,631.03,3795.54,credit_card,standard,,
82,ORD-20231026-00082,32,2023-10-26,pending,2565.35,11,380,538.72,3201.88,cash_on_delivery,express,,
83,ORD-20250820-00083,308,2025-08-20,delivered,2600.34,14,250,546.07,3032.36,credit_card,standard,6,
84,ORD-20230222-00084,258,2023-02-22,pending,137.26,10,230,28.82,382.35,cash_on_delivery,standard,,
85,ORD-20231214-00085,309,2023-12-14,processing,2572.62,12,60,540.25,2864.16,debit_card,standard,,
86,ORD-20231121-00086,132,2023-11-21,delivered,4170.95,7,190,875.9,4944.88,cash_on_delivery,standard,,
87,ORD-20240630-00087,2,2024-06-30,cancelled,2665.59,12,410,559.77,3315.49,credit_card,pickup,2,Nota del cliente: Entregar por la tarde
88,ORD-20250329-00088,323,2025-03-29,delivered,5175.98,10,70,1086.96,5815.34,debit_card,pickup,,
89,ORD-20260129-00089,55,2026-01-29,shipped,2172.25,16,440,456.17,2720.86,credit_card,standard,,
90,ORD-20250829-00090,150,2025-08-29,pending,3031.56,8,370,636.63,3795.67,credit_card,standard,,
91,ORD-20240719-00091,146,2024-07-19,cancelled,144.93,7,80,30.44,245.22,bank_transfer,pickup,,
92,ORD-20240324-00092,37,2024-03-24,processing,3413.21,12,250,716.77,3970.39,bank_transfer,standard,,Nota del cliente: Dejar en portería
93,ORD-20231122-00093,2,2023-11-22,shipped,3874.72,10,300,813.69,4600.94,cash_on_delivery,pickup,,
94,ORD-20240325-00094,214,2024-03-25,processing,2159.03,11,90,453.4,2464.94,bank_transfer,pickup,,
95,ORD-20250806-00095,68,2025-08-06,processing,4633.26,6,70,972.98,5398.24,cash_on_delivery,pickup,,
96,ORD-20240725-00096,103,2024-07-25,pending,3991.55,4,40,838.23,4710.12,credit_card,standard,,
97,ORD-20240705-00097,254,2024-07-05,shipped,4257.19,16,430,894.01,4900.05,bank_transfer,express,,
98,ORD-20241008-00098,254,2024-10-08,processing,2329.7,16,380,489.24,2826.19,bank_transfer,same_day,2,
